"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
448.003672;448.004264;"Adenosine 3',5'-diphosphate";[M+Na-H2];C10H15N5O10P2;1.81999e-4;0.406245;448.004082;3 out of 5
448.003672;448.004264;dGDP;[M+Na-H2];C10H15N5O10P2;1.81999e-4;0.406245;448.004082;3 out of 5
448.003672;448.004264;ADP;[M+Na-H2];C10H15N5O10P2;1.81999e-4;0.406245;448.004082;3 out of 5
448.003672;448.004264;"[(2S,3R,4R,5R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate";[M+Na-H2];C10H15N5O10P2;1.81999e-4;0.406245;448.004082;3 out of 5
448.003672;448.004264;Zidovudine diphosphate;[M+Na-H2];C10H15N5O10P2;1.81049e-4;0.404124;448.004083;3 out of 5
455.233582;455.234206;Phytyl diphosphate;[M-H];C20H42O7P2;9.05801e-4;1.989751;455.233300;1 out of 5
455.233582;455.234206;"CPA(18:0/0:0)";[M+Cl];C21H41O6P;7.28967e-4;1.601303;455.233477;2 out of 5
458.084370;458.085006;3-(6-Methylpyridin-2-yl)-N-phenyl-4-(quinolin-4-yl)-1H-pyrazole-1-carbothioamide;[M+K-H2];C25H19N5S;2.83769e-4;0.619469;458.084722;1 out of 5
458.084370;458.085006;"N-(4-(2-Chlorophenyl)-6,7-dimethyl-3-quinolyl)-N'-(2,4-difluorophenyl)urea";[M+Na-H2];C24H18ClF2N3O;-3.07625e-4;-0.671544;458.085313;1 out of 5
458.084370;458.085006;5-O-p-Coumaroylnigrumin;[M+K-H2];C20H23NO9;-8.80764e-4;-1.922704;458.085886;1 out of 5
458.091361;458.091997;Ethyl 3-[[(4-chlorophenyl)methyl-[(5-nitrothiophen-2-yl)methyl]amino]methyl]pyrrolidine-1-carboxylate;[M+Na-H2];C20H24ClN3O4S;-2.74951e-4;-0.600209;458.092272;1 out of 5
459.096325;459.096965;AUREOMYCIN;[M-H2O-H];C22H23ClN2O8;5.12898e-4;1.117190;459.096452;1 out of 5
459.096325;459.096965;Chembl456066;[M-H2O-H];C22H23ClN2O8;5.12898e-4;1.117190;459.096452;1 out of 5
459.111180;459.111821;Losartan;[M+K-H2];C22H23ClN6O;1.02874e-3;2.240723;459.110792;1 out of 5
459.114962;459.115602;Eprosartan;[M+Cl];C23H24N2O4S;5.23442e-4;1.140112;459.115079;2 out of 5
459.114962;459.115602;Ponesimod;[M-H];C23H25ClN2O4S;5.23198e-4;1.139580;459.115079;3 out of 5
459.114962;459.115602;4-[[2-Butyl-5-(2-carboxy-3-thiophen-2-ylprop-1-enyl)-1-imidazolyl]methyl]benzoic acid;[M+Cl];C23H24N2O4S;5.22963e-4;1.139068;459.115079;2 out of 5
459.232221;459.232862;Mosapramine;[M-H2O-H];C28H35ClN4O;7.63260e-4;1.662036;459.232099;1 out of 5
459.232221;459.232862;Camicinal;[M+Cl];C25H33FN4O;-3.79102e-4;-0.825510;459.233241;1 out of 5
460.094857;460.095502;"2-[(4s)-6-(4-Chlorophenyl)-8-Methoxy-1-Methyl-4h-[1,2,4]triazolo[4,3-A][1,4]benzodiazepin-4-Yl]-N-Ethylacetamide";[M+K-H2];C22H22ClN5O2;6.93885e-4;1.508134;460.094808;1 out of 5
460.098655;460.099299;Prulifloxacin;[M-H];C21H20FN3O6S;8.91656e-4;1.937968;460.098408;1 out of 5
460.105165;460.105810;Coelenterazine;[M+K-H2];C26H21N3O3;-1.08654e-3;-2.361504;460.106897;1 out of 5
460.105165;460.105810;"4-[4-(3-Hydroxyphenyl)-3-(4-methylphenyl)-6-oxo-1,4-dihydropyrrolo[3,4-d]pyrazol-5-yl]benzoic acid";[M+Cl];C25H19N3O4;-1.14710e-3;-2.493117;460.106957;1 out of 5
