"Observed m/z";"Adjusted m/z";Matched name;Adduct;Formula;Matched delta mass (Da);Matched difference (ppm);Matched theoretical mass;Coverage
200.068630;200.068850;"3,5-Dimethylphenyl methylcarbamate";[M+Na-H2];C10H13NO2;-4.45213e-4;-2.225292;200.069296;1 out of 5
200.068630;200.068850;Ethyl N-methylanthranilate;[M+Na-H2];C10H13NO2;-4.45213e-4;-2.225292;200.069296;1 out of 5
200.068630;200.068850;"1,2,3,4,5,6-Hexahydro-5-(1-hydroxyethylidene)-7H-cyclopenta[b]pyridin-7-one";[M+Na-H2];C10H13NO2;-4.45213e-4;-2.225292;200.069296;1 out of 5
200.068630;200.068850;"2,3-Dihydro-5-(3-hydroxypropanoyl)-1H-pyrrolizine";[M+Na-H2];C10H13NO2;-4.45213e-4;-2.225292;200.069296;1 out of 5
200.068630;200.068850;"3,4-Methylenedioxyamphetamine";[M+Na-H2];C10H13NO2;-4.45213e-4;-2.225292;200.069296;1 out of 5
200.068630;200.068850;Salsolinol;[M+Na-H2];C10H13NO2;-4.45213e-4;-2.225292;200.069296;1 out of 5
200.068630;200.068850;Fusaric acid;[M+Na-H2];C10H13NO2;-4.45213e-4;-2.225292;200.069296;1 out of 5
200.068630;200.068850;Phenacetin;[M+Na-H2];C10H13NO2;-4.45213e-4;-2.225292;200.069296;1 out of 5
200.068630;200.068850;"Methyl N,N-dimethylanthranilate";[M+Na-H2];C10H13NO2;-4.45213e-4;-2.225292;200.069296;1 out of 5
204.056216;204.056442;Chlorphentermine;[M+Na-H2];C10H14ClN;2.97427e-4;1.457573;204.056144;1 out of 5
204.056216;204.056442;geranate;[M+K-H2];C10H15O2;8.32838e-5;0.408141;204.056358;1 out of 5
204.056216;204.056442;2-butyl-4-hydroxy-5-methyl-3(2H)-furanone;[M+Cl];C9H13O3;2.27278e-5;0.111380;204.056419;1 out of 5
207.014511;207.014740;Garcinia acid;[M-H];C6H8O8;1.00201e-4;0.484028;207.014640;1 out of 5
213.075092;213.075329;"1,9-Nonanedithiol";[M+Na-H2];C9H20S2;2.03939e-5;0.095712;213.075309;1 out of 5
214.967426;214.967666;4-Chloro-1-naphthol;[M+K-H2];C10H7ClO;5.18435e-4;2.411692;214.967148;1 out of 5
214.967426;214.967666;Dichlorprop;[M-H2O-H];C9H8Cl2O3;4.57399e-4;2.127760;214.967209;1 out of 5
215.962236;215.962477;1H-Indole-5-carbonyl chloride;[M+K-H2];C9H6ClNO;8.07652e-5;0.373978;215.962397;1 out of 5
216.976167;216.976410;"2,5-Dimethyl-1,4-dithiane-2,5-diol";[M+K-H2];C6H12O2S2;-6.63826e-5;-0.305944;216.976476;2 out of 5
216.976167;216.976410;Ethyl 2-(methyldithio)propionate;[M+K-H2];C6H12O2S2;-6.63826e-5;-0.305944;216.976476;2 out of 5
216.976167;216.976410;"2,4-Bis(methylthio)butyric acid";[M+K-H2];C6H12O2S2;-6.73486e-5;-0.310396;216.976477;2 out of 5
219.026782;219.027027;Syringic acid;[M+Na-H2];C9H10O5;-4.63033e-4;-2.114041;219.027490;1 out of 5
219.026782;219.027027;Ethyl gallate;[M+Na-H2];C9H10O5;-4.63033e-4;-2.114041;219.027490;1 out of 5
219.026782;219.027027;Methoxyhydroxymandelic Acid;[M+Na-H2];C9H10O5;-4.63033e-4;-2.114041;219.027490;1 out of 5
219.026782;219.027027;Vanillylmandelic acid;[M+Na-H2];C9H10O5;-4.63041e-4;-2.114078;219.027490;1 out of 5
219.026782;219.027027;"3-(3,4-Dihydroxyphenyl)lactic acid";[M+Na-H2];C9H10O5;-4.63041e-4;-2.114078;219.027490;1 out of 5
219.026782;219.027027;3-Hydroxy-4-methoxymandelate;[M+Na-H2];C9H10O5;-4.63041e-4;-2.114078;219.027490;1 out of 5
